Source,Target
AKTIP,KIAA1377
AKTIP,UTP14A
FUBP1,TLE1
HNRNPH3,CRMP1
HNRNPH3,EEF1G
HSPE1,C14orf1
HSPE1,EEF1A1
CCDC106,EEF1G
LAMA4,EEF1A1
LSM3,EEF1A1
LSM3,UTP14A
PAFAH1B3,BRD7
PAFAH1B3,CRMP1
PAFAH1B3,EEF1A1
PSMD11,BRD7
PSMD11,CRMP1
PSMD11,RBM48
PSMD11,EEF1A1
PSMD2,PTN
PTN,CHD3
PTPN4,EEF1G
PTPRS,EEF1G
PTPRS,KIAA1377
PTPRS,UNC119
RBM23,MED31
RBM23,KIAA1377
RPA2,MED31
RPA2,CRMP1
RPA2,EEF1A1
RPA2,GAPDH
RPA2,KIAA1377
RPA2,LRIF1
RPA2,UTP14A
RPA2,TLE1
RPA2,TUBB2A
RPLP1,BRD7
RPLP1,EEF1A1
RPLP1,TUBB2A
RPS3A,HSP90AA1
SAT1,EEF1G
SAT1,RPLP1
SAT1,TLE1
SELENBP1,MED31
SELENBP1,LRIF1
SERPINB9,BRD7
SERPINB9,CRMP1
SERPINB9,EEF1A1
SGTA,PTN
SUMO2,CHD3
TOMM20,BAG6
TP53I3,UNC119
TUBB3,EEF1G
ZFP64,TLE1
ZNF24,CRMP1
ZNF24,EEF1A1
ZNF24,EEF1G
ZNF24,TP53
BCCIP,PTN
EEF1B2,EEF1G
EEF1G,EEF1B2
EEF1D,EEF1G
EEF1G,EEF1D
LSM2,LSM3
LSM3,LSM2
TXNDC9,FEZ1
APLP1,ZNF24
ASB13,MARK3
GAPDH,RPA2
GOLGB1,PFN2
XRCC6,ARAP1
HSP90AA1,RPS3A
KAT5,DLEU1
POLR3F,PRPF4B
TP53,BTBD2
KDM1A,IMMT
FRA10AC1,MAP3K12
EMD,SH3GL2
HABP4,PRMT1
MARK3,TCEA2
PPP1R16A,PUF60
PSMA3,PSMA6
PTPN4,KAT5
SH3GL1,DPPA4
